"url","name","address","city","cap","region","state","country","latitude","longitude","type"
"https://www.informazione-aziende.it/Azienda_RADICI-PIETRO-INDUSTRIES-BRANDS-SPA","Radici Pietro Industries & Brands S.p.a.","VIA CAV. PIETRO RADICI\, 19\, 24024\, Cazzano Sant'andrea\, Bergamo","Cazzano Sant'andrea",24024,"Bergamo","Lombardia","Italia",45.80758,9.88117,1
"https://www.informazione-aziende.it/Azienda_CERVOTESSILE-SPA","Cervotessile S.p.a.","VIALE MAJNO LUIGI\, 5\, 20122\, Milano\, Milano","Milano",20122,"Milano","Lombardia","Italia",45.46861,9.2055,1
"https://www.informazione-aziende.it/Azienda_FILMAR-SPA","Filmar S.p.a.","VIA DE GASPERI\, 65\, 25030\, Erbusco\, Brescia","Erbusco",25030,"Brescia","Lombardia","Italia",45.60462,9.93552,1
"https://www.informazione-aziende.it/Azienda_ALFREDO-GRASSI-SPA","\"alfredo Grassi S.p.a.\"","VIA VITTORIO VENETO\, 82\, 21015\, Lonate Pozzolo\, Varese","Lonate Pozzolo",21015,"Varese","Lombardia","Italia",45.59324,8.74456,1
"https://www.informazione-aziende.it/Azienda_CLERICI-TESSUTO-C-SPA","Clerici Tessuto & C. S.p.a.","VIA BELVEDERE\, 1/A\, 22070\, Grandate\, Como","Grandate",22070,"Como","Lombardia","Italia",45.77573,9.06123,1
"https://www.informazione-aziende.it/Azienda_CONFEZIONI-ANDREA-ITALIA-SRL","Confezioni Andrea Italia S.r.l.","VIA GIUSEPPE VERDI\, 5\, 21020\, Bodio Lomnago\, Varese","Bodio Lomnago",21020,"Varese","Lombardia","Italia",45.79007,8.74447,1
"https://www.informazione-aziende.it/Azienda_PANTEX-INTERNATIONAL-SPA","Pantex International S.p.a.","VIA BOLOGNA\, 7\, 20060\, Trezzano Rosa\, Milano","Trezzano Rosa",20060,"Milano","Lombardia","Italia",45.58869,9.47654,1
"https://www.informazione-aziende.it/Azienda_NOVATEX-ITALIA-SPA","Novatex Italia S.p.a.","VIA PER DOLZAGO\, 37\, 23848\, Oggiono\, Lecco","Oggiono",23848,"Lecco","Lombardia","Italia",45.77686,9.34109,1
"https://www.informazione-aziende.it/Azienda_FITESA-ITALY-SRL","Fitesa Italy S.r.l.","VIA BOLOGNA\, 7\, 20060\, Trezzano Rosa\, Milano","Trezzano Rosa",20060,"Milano","Lombardia","Italia",45.58869,9.47654,1
"https://www.informazione-aziende.it/Azienda_SITIP-SPA","Sitip S.p.a.","VIA VALL'ALTA\, 13\, 24020\, Cene\, Bergamo","Cene",24020,"Bergamo","Lombardia","Italia",45.77009,9.82513,1
"https://www.informazione-aziende.it/Azienda_VINCENZO-ZUCCHI-SOCIETA-PER-AZIONI","Vincenzo Zucchi - Societa' Per Azioni","VIA LEGNANO\, 24\, 20027\, Rescaldina\, Milano","Rescaldina",20027,"Milano","Lombardia","Italia",45.61223,8.94603,1
"https://www.informazione-aziende.it/Azienda_CANEPA-SPA","Canepa S.p.a.","VIA TRINITA'\, 1\, 22042\, San Fermo Della Battaglia\, Como","San Fermo Della Battaglia",22042,"Como","Lombardia","Italia",45.80287,9.04022,1
"https://www.informazione-aziende.it/Azienda_INDUSTRIE-CHIMICHE-FORESTALI-SPA-CORRENTE-ANCHE-SOTTO-LA-SI-GLA-ICF-SPA","\"industrie Chimiche Forestali S.p.a.\"\, Corrente Anche Sotto La Si Gla I.c.f. S.p.a.","VIA F.LLI KENNEDY\, 75\, 20010\, Marcallo Con Casone\, Milano","Marcallo Con Casone",20010,"Milano","Lombardia","Italia",45.47874,8.86665,1
"https://www.informazione-aziende.it/Azienda_SANTEX-SPA","Santex S.p.a.","VIA S.GIOVANNI SUL MURO\, 0001\, 20121\, Milano\, Milano","Milano",20121,"Milano","Lombardia","Italia",45.46677,9.18132,1
"https://www.informazione-aziende.it/Azienda_ACHILLE-PINTO-SPA","Achille Pinto S.p.a.","VIA SANTA TECLA\, 3\, 20122\, Milano\, Milano","Milano",20122,"Milano","Lombardia","Italia",45.46274,9.193,1
"https://www.informazione-aziende.it/Azienda_PARA-SPA","Para' S.p.a.","VIA FERRUCCIO RADAELLI\, 56\, 24040\, Pontirolo Nuovo\, Bergamo","Pontirolo Nuovo",24040,"Bergamo","Lombardia","Italia",45.57878,9.57039,1
"https://www.informazione-aziende.it/Azienda_BRANDART-IMAGE-PACKAGING-SRL-IN-FORMA-ABBREVIATA-BRANDART-SRL","Brandart Image Packaging S.r.l. In Forma Abbreviata Brandart S.r.l.","VIALE LUNIGIANA\, 46\, 20125\, Milano\, Milano","Milano",20125,"Milano","Lombardia","Italia",45.49346,9.20181,1
"https://www.informazione-aziende.it/Azienda_MANTERO-SETA-SPA","Mantero Seta-s.p.a","VIA RICCARDO MANTERO\, 15\, 22070\, Grandate\, Como","Grandate",22070,"Como","Lombardia","Italia",45.7779,9.04924,1
"https://www.informazione-aziende.it/Azienda_CANDIANI-SPA","Candiani S.p.a.","VIA ARESE\, 0085\, 20020\, Robecchetto Con Induno\, Milano","Robecchetto Con Induno",20020,"Milano","Lombardia","Italia",45.5385,8.76109,1
"https://www.informazione-aziende.it/Azienda_MOZZATE-NONWOVENS-SRL","Mozzate Nonwovens S.r.l.","VIA AL CORBE'\, SNC\, 22076\, Mozzate\, Como","Mozzate",22076,"Como","Lombardia","Italia",45.66465,8.96038,1
"https://www.informazione-aziende.it/Azienda_SAATI-SPA","Saati S.p.a.","VIA MILANO\, 14\, 22070\, Appiano Gentile\, Como","Appiano Gentile",22070,"Como","Lombardia","Italia",45.72762,8.98338,1
"https://www.informazione-aziende.it/Azienda_LISA-SPA","Lisa S.p.a.","VIA PER FENEGRO'\, 26\, 22070\, Veniano\, Como","Veniano",22070,"Como","Lombardia","Italia",45.71692,8.99621,1
"https://www.informazione-aziende.it/Azienda_RATTI-SPA","Ratti S.p.a.","VIA MADONNA\, 30\, 22070\, Guanzate\, Como","Guanzate",22070,"Como","Lombardia","Italia",45.72598,9.019,1
"https://www.informazione-aziende.it/Azienda_CARVICO-SPA","Carvico - S.p.a.","VIA DON A. PEDRINELLI\, 96\, 24030\, Carvico\, Bergamo","Carvico",24030,"Bergamo","Lombardia","Italia",45.70031,9.49427,1
