"Martinelli Ginetto S.p.a. O, Piu' Brevemente, M.g. S.p.a.",220,Textile
Gallus S.p.a.,221,Textile
Tessitura Serica A.m. Taborelli - S.r.l.,222,Textile
Lor-ma - S.r.l.,166,Textile
Caleffi - S.p.a.,223,Textile
Orlandi S.p.a,224,Textile
Hyosung Europe S.r.l.,225,Textile
Fiberweb Terno D'isola S.r.l.,226,Textile
Lanificio F.lli Cerruti S.p.a.,227,Textile
Arix S.p.a.,228,Textile
Mascioni S.p.a.,229,Textile
fratelli Testori S.p.a. Piu' Brevemente Detta  Testori S.p.a.,230,Textile
Tessiture Pietro Radici - S.p.a.,231,Textile
Saratoga Int. Sforza Spa,232,Textile
Frette S.r.l.,233,Textile
Jersey Lomellina S.p.a.,234,Textile
Stamperia Di Martinengo - S.r.l.,235,Textile
Limonta Sport S.p.a.,200,Textile
Gabel Industria Tessile S.p.a.,236,Textile
Radici Pietro Industries & Brands S.p.a.,237,Textile
Cervotessile S.p.a.,238,Textile
Filmar S.p.a.,239,Textile
alfredo Grassi S.p.a.,240,Textile
Clerici Tessuto & C. S.p.a.,241,Textile
Confezioni Andrea Italia S.r.l.,242,Textile
Pantex International S.p.a.,243,Textile
Novatex Italia S.p.a.,244,Textile
Fitesa Italy S.r.l.,243,Textile
Sitip S.p.a.,245,Textile
Vincenzo Zucchi - Societa' Per Azioni,246,Textile
Canepa S.p.a.,247,Textile
"industrie Chimiche Forestali S.p.a., Corrente Anche Sotto La Si Gla I.c.f. S.p.a.",248,Textile
Santex S.p.a.,249,Textile
Achille Pinto S.p.a.,126,Textile
Para' S.p.a.,250,Textile
Brandart Image Packaging S.r.l. In Forma Abbreviata Brandart S.r.l.,251,Textile
Mantero Seta-s.p.a,252,Textile
Candiani S.p.a.,253,Textile
Mozzate Nonwovens S.r.l.,254,Textile
Saati S.p.a.,255,Textile
Lisa S.p.a.,256,Textile
Ratti S.p.a.,257,Textile
Carvico - S.p.a.,258,Textile
Cotonificio Albini S.p.a.,259,Textile
Societa' Industriale Cremonese Sicrem Spa Enunciabile Anche In Forma Abbreviata sicrem Spa,260,Textile
Limonta - Societa' Per Azioni,261,Textile
Alcantara S.p.a.,262,Textile
Fulgar S.p.a.,263,Textile
Nuova Tecnofibra - S.r.l.,264,Textile
Tay S.r.l.,265,Textile
Tessitura Oreste Mariani S.p.a.,266,Textile
Laveno Mombello S.r.l.,269,Textile
Azienda Speciale Suzzara Servizi,271,Textile
Sanitas Seriate S.r.l.,272,Textile
Azienda Speciale Pluriservizi Di Magnago - A.s.p.m.,273,Textile
azienda Speciale Servizi Pubblici,274,Textile
Aaf S.r.l.,279,Textile
Cesare Vaiani Srl,283,Textile
Montagna Servizi S.r.l.,288,Textile
Gestione Servizi Comunali Colere S.r.l.,290,Textile
Coni Zugna Farma S.r.l.,292,Textile
Cremona Farma S.r.l.,293,Textile
Martin Pharma S.r.l.,295,Textile
Fao S.r.l.,304,Textile
Sigra S.r.l.,305,Textile
Gonzaga Servizi S.r.l.,306,Textile
Poggiridenti Servizi Comunali S.r.l.,307,Textile
Ortopedia Leone S.r.l.,309,Textile
A.s.s.p. Azienda Speciale Servizi Parabiago,311,Textile
Artemisia S.r.l.,316,Textile
Botticino Servizi S.r.l.,317,Textile
Marpicati S.r.l.,322,Textile
Farmaicurzio S.r.l.,324,Textile
Azienda Speciale Multiservizi Gerenzano,326,Textile
Gestione Servizi Ambientali Comunali S.r.l. In Sigla ge.s.a.com. S.r.l.,329,Textile
Azienda Speciale Volta Servizi,333,Textile
Azienda Speciale Sirmione,334,Textile
Castione Andevenno Servizi Comunali S.r.l.,335,Textile
Carpenedolo Servizi S.r.l.,336,Textile
Mazzano Servizi S.r.l.,338,Textile
Coccaglio Servizi S.r.l.,340,Textile
Nuova Farmabroni S.r.l.,341,Textile
